Aug 24 03:17:32.660 INFO: manager: 2.0.1
Aug 24 03:17:32.660 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Aug 24 03:17:32.660 INFO: manager:   Intelligent Systems Research Institute, AIST,
Aug 24 03:17:32.660 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Aug 24 03:17:32.660 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Aug 24 03:17:32.660 INFO: manager:   All right reserved.
Aug 24 03:17:32.660 INFO: manager: Manager starting.
Aug 24 03:17:32.660 INFO: manager: Starting local logging.
Aug 24 03:17:32.667 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Aug 24 03:17:32.667 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Aug 24 03:17:32.669 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Aug 24 03:17:32.672 WARNING: ManagerServant: Master manager not found
Aug 24 03:17:32.672 INFO: LocalServiceAdmin: All the local services are enabled.
Aug 24 03:17:32.676 INFO: ec_base: setRate(1000000.000000) done
Aug 24 03:17:32.676 INFO: ec_base: setRate(1000.000000) done
Aug 24 03:17:32.677 INFO: ManagerModule0: 1 execution context was created.
Aug 24 03:17:32.678 INFO: ManagerModule0: Initial active configuration set is default.
Aug 24 03:17:42.694 INFO: ManagerServant: Master manager not found
Aug 24 03:17:52.706 INFO: ManagerServant: Master manager not found
Aug 24 03:18:02.719 INFO: ManagerServant: Master manager not found
Aug 24 03:18:12.732 INFO: ManagerServant: Master manager not found
Aug 24 03:18:22.745 INFO: ManagerServant: Master manager not found
Aug 24 03:18:32.757 INFO: ManagerServant: Master manager not found
Aug 24 03:18:42.771 INFO: ManagerServant: Master manager not found
Aug 24 03:18:52.784 INFO: ManagerServant: Master manager not found
Aug 24 03:19:02.798 INFO: ManagerServant: Master manager not found
Aug 24 03:19:12.810 INFO: ManagerServant: Master manager not found
Aug 24 03:19:22.823 INFO: ManagerServant: Master manager not found
Aug 24 03:19:32.837 INFO: ManagerServant: Master manager not found
Aug 24 03:19:42.850 INFO: ManagerServant: Master manager not found
Aug 24 03:19:52.863 INFO: ManagerServant: Master manager not found
Aug 24 03:20:02.878 INFO: ManagerServant: Master manager not found
Aug 24 03:20:12.891 INFO: ManagerServant: Master manager not found
Aug 24 03:20:22.904 INFO: ManagerServant: Master manager not found
Aug 24 03:20:32.918 INFO: ManagerServant: Master manager not found
Aug 24 03:20:42.934 INFO: ManagerServant: Master manager not found
Aug 24 03:20:52.947 INFO: ManagerServant: Master manager not found
Aug 24 03:21:02.961 INFO: ManagerServant: Master manager not found
Aug 24 03:21:12.974 INFO: ManagerServant: Master manager not found
Aug 24 03:21:22.987 INFO: ManagerServant: Master manager not found
Aug 24 03:21:33.000 INFO: ManagerServant: Master manager not found
Aug 24 03:21:43.013 INFO: ManagerServant: Master manager not found
Aug 24 03:21:53.026 INFO: ManagerServant: Master manager not found
Aug 24 03:22:03.040 INFO: ManagerServant: Master manager not found
Aug 24 03:22:13.053 INFO: ManagerServant: Master manager not found
Aug 24 03:22:23.066 INFO: ManagerServant: Master manager not found
Aug 24 03:22:33.079 INFO: ManagerServant: Master manager not found
Aug 24 03:22:43.090 INFO: ManagerServant: Master manager not found
Aug 24 03:22:53.104 INFO: ManagerServant: Master manager not found
Aug 24 03:23:03.117 INFO: ManagerServant: Master manager not found
Aug 24 03:23:13.131 INFO: ManagerServant: Master manager not found
Aug 24 03:23:23.144 INFO: ManagerServant: Master manager not found
Aug 24 03:23:33.158 INFO: ManagerServant: Master manager not found
Aug 24 03:23:43.171 INFO: ManagerServant: Master manager not found
Aug 24 03:23:53.185 INFO: ManagerServant: Master manager not found
Aug 24 03:24:03.197 INFO: ManagerServant: Master manager not found
Aug 24 03:24:13.211 INFO: ManagerServant: Master manager not found
Aug 24 03:24:23.225 INFO: ManagerServant: Master manager not found
Aug 24 03:24:33.238 INFO: ManagerServant: Master manager not found
Aug 24 03:24:43.252 INFO: ManagerServant: Master manager not found
Aug 24 03:24:53.266 INFO: ManagerServant: Master manager not found
Aug 24 03:25:03.279 INFO: ManagerServant: Master manager not found
Aug 24 03:25:13.293 INFO: ManagerServant: Master manager not found
Aug 24 03:25:23.306 INFO: ManagerServant: Master manager not found
Aug 24 03:25:33.320 INFO: ManagerServant: Master manager not found
Aug 24 03:25:43.333 INFO: ManagerServant: Master manager not found
Aug 24 03:25:53.347 INFO: ManagerServant: Master manager not found
Aug 24 03:26:03.360 INFO: ManagerServant: Master manager not found
Aug 24 03:26:13.373 INFO: ManagerServant: Master manager not found
Aug 24 03:26:23.386 INFO: ManagerServant: Master manager not found
Aug 24 03:26:33.400 INFO: ManagerServant: Master manager not found
Aug 24 03:26:43.414 INFO: ManagerServant: Master manager not found
Aug 24 03:26:53.428 INFO: ManagerServant: Master manager not found
Aug 24 03:27:03.442 INFO: ManagerServant: Master manager not found
