Aug 25 07:02:02.451 INFO: manager: 2.0.1
Aug 25 07:02:02.451 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Aug 25 07:02:02.451 INFO: manager:   Intelligent Systems Research Institute, AIST,
Aug 25 07:02:02.451 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Aug 25 07:02:02.451 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Aug 25 07:02:02.451 INFO: manager:   All right reserved.
Aug 25 07:02:02.451 INFO: manager: Manager starting.
Aug 25 07:02:02.451 INFO: manager: Starting local logging.
Aug 25 07:02:02.457 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Aug 25 07:02:02.457 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Aug 25 07:02:02.458 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Aug 25 07:02:02.459 WARNING: ManagerServant: Master manager not found
Aug 25 07:02:02.460 INFO: LocalServiceAdmin: All the local services are enabled.
Aug 25 07:02:02.460 INFO: ec_base: setRate(1000000.000000) done
Aug 25 07:02:02.460 INFO: ec_base: setRate(1000.000000) done
Aug 25 07:02:02.461 INFO: ManagerModule0: 1 execution context was created.
Aug 25 07:02:02.463 INFO: ManagerModule0: Initial active configuration set is default.
Aug 25 07:02:12.476 INFO: ManagerServant: Master manager not found
Aug 25 07:02:22.487 INFO: ManagerServant: Master manager not found
Aug 25 07:02:32.497 INFO: ManagerServant: Master manager not found
Aug 25 07:02:42.507 INFO: ManagerServant: Master manager not found
Aug 25 07:02:52.519 INFO: ManagerServant: Master manager not found
Aug 25 07:03:02.529 INFO: ManagerServant: Master manager not found
Aug 25 07:03:12.540 INFO: ManagerServant: Master manager not found
Aug 25 07:03:22.549 INFO: ManagerServant: Master manager not found
Aug 25 07:03:32.557 INFO: ManagerServant: Master manager not found
Aug 25 07:03:42.565 INFO: ManagerServant: Master manager not found
Aug 25 07:03:52.574 INFO: ManagerServant: Master manager not found
Aug 25 07:04:02.584 INFO: ManagerServant: Master manager not found
Aug 25 07:04:12.593 INFO: ManagerServant: Master manager not found
Aug 25 07:04:22.603 INFO: ManagerServant: Master manager not found
Aug 25 07:04:32.613 INFO: ManagerServant: Master manager not found
Aug 25 07:04:42.622 INFO: ManagerServant: Master manager not found
Aug 25 07:04:52.631 INFO: ManagerServant: Master manager not found
Aug 25 07:05:02.641 INFO: ManagerServant: Master manager not found
Aug 25 07:05:12.651 INFO: ManagerServant: Master manager not found
Aug 25 07:05:22.659 INFO: ManagerServant: Master manager not found
Aug 25 07:05:32.668 INFO: ManagerServant: Master manager not found
Aug 25 07:05:42.675 INFO: ManagerServant: Master manager not found
Aug 25 07:05:52.685 INFO: ManagerServant: Master manager not found
Aug 25 07:06:02.694 INFO: ManagerServant: Master manager not found
Aug 25 07:06:12.704 INFO: ManagerServant: Master manager not found
Aug 25 07:06:22.714 INFO: ManagerServant: Master manager not found
Aug 25 07:06:32.722 INFO: ManagerServant: Master manager not found
Aug 25 07:06:42.731 INFO: ManagerServant: Master manager not found
Aug 25 07:06:52.740 INFO: ManagerServant: Master manager not found
Aug 25 07:07:02.749 INFO: ManagerServant: Master manager not found
Aug 25 07:07:12.758 INFO: ManagerServant: Master manager not found
Aug 25 07:07:20.683 WARNING: ui_in: Dead connection: 8cda783c-4315-11ee-8041-d534f205a611
Aug 25 07:07:22.766 INFO: ManagerServant: Master manager not found
Aug 25 07:07:30.695 WARNING: ui_in: Exception caught: minor code(1096024072).
Aug 25 07:07:32.775 INFO: ManagerServant: Master manager not found
Aug 25 07:07:42.783 INFO: ManagerServant: Master manager not found
Aug 25 07:07:52.792 INFO: ManagerServant: Master manager not found
Aug 25 07:08:02.802 INFO: ManagerServant: Master manager not found
Aug 25 07:08:12.810 INFO: ManagerServant: Master manager not found
Aug 25 07:08:22.818 INFO: ManagerServant: Master manager not found
Aug 25 07:08:32.825 INFO: ManagerServant: Master manager not found
Aug 25 07:08:42.835 INFO: ManagerServant: Master manager not found
Aug 25 07:08:52.845 INFO: ManagerServant: Master manager not found
Aug 25 07:09:02.851 INFO: ManagerServant: Master manager not found
Aug 25 07:09:12.861 INFO: ManagerServant: Master manager not found
Aug 25 07:09:22.870 INFO: ManagerServant: Master manager not found
Aug 25 07:09:32.878 INFO: ManagerServant: Master manager not found
Aug 25 07:09:42.887 INFO: ManagerServant: Master manager not found
Aug 25 07:09:52.896 INFO: ManagerServant: Master manager not found
Aug 25 07:10:02.905 INFO: ManagerServant: Master manager not found
Aug 25 07:10:12.914 INFO: ManagerServant: Master manager not found
Aug 25 07:10:22.922 INFO: ManagerServant: Master manager not found
Aug 25 07:10:32.931 INFO: ManagerServant: Master manager not found
Aug 25 07:10:42.939 INFO: ManagerServant: Master manager not found
Aug 25 07:10:52.947 INFO: ManagerServant: Master manager not found
Aug 25 07:11:02.956 INFO: ManagerServant: Master manager not found
Aug 25 07:11:11.358 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:11:12.964 INFO: ManagerServant: Master manager not found
Aug 25 07:11:22.973 INFO: ManagerServant: Master manager not found
Aug 25 07:11:32.982 INFO: ManagerServant: Master manager not found
Aug 25 07:11:42.990 INFO: ManagerServant: Master manager not found
Aug 25 07:11:52.998 INFO: ManagerServant: Master manager not found
Aug 25 07:12:03.006 INFO: ManagerServant: Master manager not found
Aug 25 07:12:13.015 INFO: ManagerServant: Master manager not found
Aug 25 07:12:23.024 INFO: ManagerServant: Master manager not found
Aug 25 07:12:33.033 INFO: ManagerServant: Master manager not found
Aug 25 07:12:43.040 INFO: ManagerServant: Master manager not found
Aug 25 07:12:53.049 INFO: ManagerServant: Master manager not found
Aug 25 07:13:03.058 INFO: ManagerServant: Master manager not found
Aug 25 07:13:13.067 INFO: ManagerServant: Master manager not found
Aug 25 07:13:23.076 INFO: ManagerServant: Master manager not found
Aug 25 07:13:33.085 INFO: ManagerServant: Master manager not found
Aug 25 07:13:43.095 INFO: ManagerServant: Master manager not found
Aug 25 07:13:53.103 INFO: ManagerServant: Master manager not found
Aug 25 07:14:03.111 INFO: ManagerServant: Master manager not found
Aug 25 07:14:13.120 INFO: ManagerServant: Master manager not found
Aug 25 07:14:23.129 INFO: ManagerServant: Master manager not found
Aug 25 07:14:33.137 INFO: ManagerServant: Master manager not found
Aug 25 07:14:43.146 INFO: ManagerServant: Master manager not found
Aug 25 07:14:53.153 INFO: ManagerServant: Master manager not found
Aug 25 07:15:03.162 INFO: ManagerServant: Master manager not found
Aug 25 07:15:13.172 INFO: ManagerServant: Master manager not found
Aug 25 07:15:23.180 INFO: ManagerServant: Master manager not found
Aug 25 07:15:33.189 INFO: ManagerServant: Master manager not found
Aug 25 07:15:43.198 INFO: ManagerServant: Master manager not found
Aug 25 07:15:53.205 INFO: ManagerServant: Master manager not found
Aug 25 07:16:03.215 INFO: ManagerServant: Master manager not found
Aug 25 07:16:13.223 INFO: ManagerServant: Master manager not found
Aug 25 07:16:23.231 INFO: ManagerServant: Master manager not found
Aug 25 07:16:33.239 INFO: ManagerServant: Master manager not found
Aug 25 07:16:43.248 INFO: ManagerServant: Master manager not found
Aug 25 07:16:53.256 INFO: ManagerServant: Master manager not found
Aug 25 07:17:03.265 INFO: ManagerServant: Master manager not found
Aug 25 07:17:13.274 INFO: ManagerServant: Master manager not found
Aug 25 07:17:23.282 INFO: ManagerServant: Master manager not found
Aug 25 07:17:33.290 INFO: ManagerServant: Master manager not found
Aug 25 07:17:43.298 INFO: ManagerServant: Master manager not found
Aug 25 07:17:53.307 INFO: ManagerServant: Master manager not found
Aug 25 07:18:03.317 INFO: ManagerServant: Master manager not found
Aug 25 07:18:13.326 INFO: ManagerServant: Master manager not found
Aug 25 07:18:23.335 INFO: ManagerServant: Master manager not found
Aug 25 07:18:33.343 INFO: ManagerServant: Master manager not found
Aug 25 07:18:43.352 INFO: ManagerServant: Master manager not found
Aug 25 07:18:53.360 INFO: ManagerServant: Master manager not found
Aug 25 07:19:03.369 INFO: ManagerServant: Master manager not found
Aug 25 07:19:13.378 INFO: ManagerServant: Master manager not found
Aug 25 07:19:23.387 INFO: ManagerServant: Master manager not found
Aug 25 07:19:33.395 INFO: ManagerServant: Master manager not found
Aug 25 07:19:43.403 INFO: ManagerServant: Master manager not found
Aug 25 07:19:53.410 INFO: ManagerServant: Master manager not found
Aug 25 07:20:03.419 INFO: ManagerServant: Master manager not found
Aug 25 07:20:13.427 INFO: ManagerServant: Master manager not found
Aug 25 07:20:23.436 INFO: ManagerServant: Master manager not found
Aug 25 07:20:33.444 INFO: ManagerServant: Master manager not found
Aug 25 07:20:43.452 INFO: ManagerServant: Master manager not found
Aug 25 07:20:53.461 INFO: ManagerServant: Master manager not found
Aug 25 07:21:03.470 INFO: ManagerServant: Master manager not found
Aug 25 07:21:13.478 INFO: ManagerServant: Master manager not found
Aug 25 07:21:23.485 INFO: ManagerServant: Master manager not found
Aug 25 07:21:33.494 INFO: ManagerServant: Master manager not found
Aug 25 07:21:43.502 INFO: ManagerServant: Master manager not found
Aug 25 07:21:53.510 INFO: ManagerServant: Master manager not found
Aug 25 07:22:03.517 INFO: ManagerServant: Master manager not found
Aug 25 07:22:13.526 INFO: ManagerServant: Master manager not found
Aug 25 07:22:23.535 INFO: ManagerServant: Master manager not found
Aug 25 07:22:33.544 INFO: ManagerServant: Master manager not found
Aug 25 07:22:43.553 INFO: ManagerServant: Master manager not found
Aug 25 07:22:53.561 INFO: ManagerServant: Master manager not found
Aug 25 07:23:03.568 INFO: ManagerServant: Master manager not found
Aug 25 07:23:13.575 INFO: ManagerServant: Master manager not found
Aug 25 07:23:23.582 INFO: ManagerServant: Master manager not found
Aug 25 07:23:33.591 INFO: ManagerServant: Master manager not found
Aug 25 07:23:43.601 INFO: ManagerServant: Master manager not found
Aug 25 07:23:53.610 INFO: ManagerServant: Master manager not found
Aug 25 07:24:03.620 INFO: ManagerServant: Master manager not found
Aug 25 07:24:13.629 INFO: ManagerServant: Master manager not found
Aug 25 07:24:23.639 INFO: ManagerServant: Master manager not found
Aug 25 07:24:33.648 INFO: ManagerServant: Master manager not found
Aug 25 07:24:43.657 INFO: ManagerServant: Master manager not found
Aug 25 07:24:53.666 INFO: ManagerServant: Master manager not found
Aug 25 07:25:03.673 INFO: ManagerServant: Master manager not found
Aug 25 07:25:13.682 INFO: ManagerServant: Master manager not found
Aug 25 07:25:18.056 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:25:20.423 WARNING: image_in: Dead connection: f0a718df-0999-4474-848a-88a9d13a7fce
Aug 25 07:25:20.428 WARNING: image_in: Exception caught: minor code(1096024066).
Aug 25 07:25:23.691 INFO: ManagerServant: Master manager not found
Aug 25 07:25:33.700 INFO: ManagerServant: Master manager not found
Aug 25 07:25:43.709 INFO: ManagerServant: Master manager not found
Aug 25 07:25:53.717 INFO: ManagerServant: Master manager not found
Aug 25 07:25:58.812 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:26:02.056 WARNING: image_in: Dead connection: 28309e0a-b5fa-475a-86aa-d99e84476118
Aug 25 07:26:02.064 WARNING: image_in: Exception caught: minor code(1096024066).
Aug 25 07:26:03.727 INFO: ManagerServant: Master manager not found
Aug 25 07:26:13.737 INFO: ManagerServant: Master manager not found
Aug 25 07:26:23.746 INFO: ManagerServant: Master manager not found
Aug 25 07:26:33.754 INFO: ManagerServant: Master manager not found
Aug 25 07:26:43.761 INFO: ManagerServant: Master manager not found
Aug 25 07:26:50.058 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:26:53.770 INFO: ManagerServant: Master manager not found
Aug 25 07:27:03.778 INFO: ManagerServant: Master manager not found
Aug 25 07:27:13.787 INFO: ManagerServant: Master manager not found
Aug 25 07:27:23.796 INFO: ManagerServant: Master manager not found
Aug 25 07:27:33.805 INFO: ManagerServant: Master manager not found
Aug 25 07:27:43.813 INFO: ManagerServant: Master manager not found
Aug 25 07:27:53.822 INFO: ManagerServant: Master manager not found
Aug 25 07:28:03.830 INFO: ManagerServant: Master manager not found
Aug 25 07:28:13.837 INFO: ManagerServant: Master manager not found
Aug 25 07:28:15.204 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:28:23.847 INFO: ManagerServant: Master manager not found
Aug 25 07:28:33.855 INFO: ManagerServant: Master manager not found
Aug 25 07:28:43.862 INFO: ManagerServant: Master manager not found
Aug 25 07:28:53.871 INFO: ManagerServant: Master manager not found
Aug 25 07:29:03.879 INFO: ManagerServant: Master manager not found
Aug 25 07:29:13.888 INFO: ManagerServant: Master manager not found
Aug 25 07:29:23.898 INFO: ManagerServant: Master manager not found
Aug 25 07:29:29.673 ERROR: ui_in: Invalid connector id: 8cda783c-4315-11ee-8041-d534f205a611
Aug 25 07:29:33.906 INFO: ManagerServant: Master manager not found
Aug 25 07:29:43.915 INFO: ManagerServant: Master manager not found
Aug 25 07:29:53.923 INFO: ManagerServant: Master manager not found
Aug 25 07:30:03.932 INFO: ManagerServant: Master manager not found
Aug 25 07:30:13.942 INFO: ManagerServant: Master manager not found
Aug 25 07:30:16.732 ERROR: ec_worker: State of the RTC is not INACTIVE_STATE.
Aug 25 07:30:23.951 INFO: ManagerServant: Master manager not found
Aug 25 07:30:33.957 INFO: ManagerServant: Master manager not found
Aug 25 07:30:43.966 INFO: ManagerServant: Master manager not found
Aug 25 07:30:53.975 INFO: ManagerServant: Master manager not found
Aug 25 07:31:03.983 INFO: ManagerServant: Master manager not found
Aug 25 07:31:13.991 INFO: ManagerServant: Master manager not found
Aug 25 07:31:24.000 INFO: ManagerServant: Master manager not found
Aug 25 07:31:34.009 INFO: ManagerServant: Master manager not found
Aug 25 07:31:44.016 INFO: ManagerServant: Master manager not found
Aug 25 07:31:54.024 INFO: ManagerServant: Master manager not found
Aug 25 07:32:04.032 INFO: ManagerServant: Master manager not found
Aug 25 07:32:14.041 INFO: ManagerServant: Master manager not found
Aug 25 07:32:24.049 INFO: ManagerServant: Master manager not found
Aug 25 07:32:34.058 INFO: ManagerServant: Master manager not found
Aug 25 07:32:44.065 INFO: ManagerServant: Master manager not found
Aug 25 07:32:54.073 INFO: ManagerServant: Master manager not found
Aug 25 07:33:04.080 INFO: ManagerServant: Master manager not found
Aug 25 07:33:14.089 INFO: ManagerServant: Master manager not found
Aug 25 07:33:24.097 INFO: ManagerServant: Master manager not found
Aug 25 07:33:34.105 INFO: ManagerServant: Master manager not found
Aug 25 07:33:44.113 INFO: ManagerServant: Master manager not found
Aug 25 07:33:54.120 INFO: ManagerServant: Master manager not found
