Aug 24 02:59:29.180 INFO: manager: 2.0.1
Aug 24 02:59:29.180 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Aug 24 02:59:29.180 INFO: manager:   Intelligent Systems Research Institute, AIST,
Aug 24 02:59:29.180 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Aug 24 02:59:29.180 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Aug 24 02:59:29.180 INFO: manager:   All right reserved.
Aug 24 02:59:29.180 INFO: manager: Manager starting.
Aug 24 02:59:29.180 INFO: manager: Starting local logging.
Aug 24 02:59:29.185 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Aug 24 02:59:29.186 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Aug 24 02:59:29.186 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Aug 24 02:59:29.186 WARNING: ManagerServant: Master manager not found
Aug 24 02:59:29.187 INFO: LocalServiceAdmin: All the local services are enabled.
Aug 24 02:59:29.187 INFO: ec_base: setRate(1000000.000000) done
Aug 24 02:59:29.187 INFO: ec_base: setRate(1000.000000) done
Aug 24 02:59:29.188 INFO: ManagerModule0: 1 execution context was created.
Aug 24 02:59:29.189 INFO: ManagerModule0: Initial active configuration set is default.
Aug 24 02:59:39.200 INFO: ManagerServant: Master manager not found
Aug 24 02:59:49.208 INFO: ManagerServant: Master manager not found
Aug 24 02:59:49.377 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Aug 24 02:59:59.217 INFO: ManagerServant: Master manager not found
Aug 24 03:00:09.228 INFO: ManagerServant: Master manager not found
Aug 24 03:00:19.238 INFO: ManagerServant: Master manager not found
Aug 24 03:00:29.247 INFO: ManagerServant: Master manager not found
Aug 24 03:00:39.257 INFO: ManagerServant: Master manager not found
Aug 24 03:00:49.267 INFO: ManagerServant: Master manager not found
Aug 24 03:00:59.276 INFO: ManagerServant: Master manager not found
Aug 24 03:01:09.286 INFO: ManagerServant: Master manager not found
Aug 24 03:01:19.296 INFO: ManagerServant: Master manager not found
Aug 24 03:01:29.306 INFO: ManagerServant: Master manager not found
Aug 24 03:01:39.316 INFO: ManagerServant: Master manager not found
Aug 24 03:01:49.326 INFO: ManagerServant: Master manager not found
Aug 24 03:01:59.337 INFO: ManagerServant: Master manager not found
Aug 24 03:02:09.348 INFO: ManagerServant: Master manager not found
Aug 24 03:02:19.357 INFO: ManagerServant: Master manager not found
Aug 24 03:02:29.367 INFO: ManagerServant: Master manager not found
Aug 24 03:02:39.378 INFO: ManagerServant: Master manager not found
Aug 24 03:02:49.388 INFO: ManagerServant: Master manager not found
Aug 24 03:02:59.399 INFO: ManagerServant: Master manager not found
Aug 24 03:03:09.409 INFO: ManagerServant: Master manager not found
Aug 24 03:03:19.419 INFO: ManagerServant: Master manager not found
Aug 24 03:03:29.429 INFO: ManagerServant: Master manager not found
Aug 24 03:03:39.439 INFO: ManagerServant: Master manager not found
Aug 24 03:03:49.449 INFO: ManagerServant: Master manager not found
Aug 24 03:03:59.459 INFO: ManagerServant: Master manager not found
Aug 24 03:04:09.469 INFO: ManagerServant: Master manager not found
Aug 24 03:04:19.479 INFO: ManagerServant: Master manager not found
Aug 24 03:04:29.489 INFO: ManagerServant: Master manager not found
Aug 24 03:04:39.498 INFO: ManagerServant: Master manager not found
Aug 24 03:04:49.508 INFO: ManagerServant: Master manager not found
Aug 24 03:04:59.517 INFO: ManagerServant: Master manager not found
Aug 24 03:05:09.527 INFO: ManagerServant: Master manager not found
Aug 24 03:05:19.536 INFO: ManagerServant: Master manager not found
Aug 24 03:05:29.547 INFO: ManagerServant: Master manager not found
Aug 24 03:05:39.556 INFO: ManagerServant: Master manager not found
Aug 24 03:05:49.566 INFO: ManagerServant: Master manager not found
Aug 24 03:05:59.577 INFO: ManagerServant: Master manager not found
Aug 24 03:06:09.586 INFO: ManagerServant: Master manager not found
Aug 24 03:06:19.594 INFO: ManagerServant: Master manager not found
Aug 24 03:06:29.604 INFO: ManagerServant: Master manager not found
Aug 24 03:06:39.614 INFO: ManagerServant: Master manager not found
Aug 24 03:06:49.623 INFO: ManagerServant: Master manager not found
Aug 24 03:06:59.632 INFO: ManagerServant: Master manager not found
Aug 24 03:07:09.642 INFO: ManagerServant: Master manager not found
Aug 24 03:07:19.651 INFO: ManagerServant: Master manager not found
Aug 24 03:07:29.661 INFO: ManagerServant: Master manager not found
Aug 24 03:07:39.670 INFO: ManagerServant: Master manager not found
Aug 24 03:07:49.679 INFO: ManagerServant: Master manager not found
Aug 24 03:07:59.688 INFO: ManagerServant: Master manager not found
Aug 24 03:08:09.697 INFO: ManagerServant: Master manager not found
Aug 24 03:08:19.707 INFO: ManagerServant: Master manager not found
Aug 24 03:08:29.717 INFO: ManagerServant: Master manager not found
Aug 24 03:08:39.727 INFO: ManagerServant: Master manager not found
Aug 24 03:08:49.737 INFO: ManagerServant: Master manager not found
Aug 24 03:08:59.746 INFO: ManagerServant: Master manager not found
Aug 24 03:09:09.757 INFO: ManagerServant: Master manager not found
Aug 24 03:09:19.766 INFO: ManagerServant: Master manager not found
Aug 24 03:09:29.776 INFO: ManagerServant: Master manager not found
Aug 24 03:09:39.786 INFO: ManagerServant: Master manager not found
Aug 24 03:09:49.796 INFO: ManagerServant: Master manager not found
Aug 24 03:09:59.806 INFO: ManagerServant: Master manager not found
Aug 24 03:10:09.816 INFO: ManagerServant: Master manager not found
Aug 24 03:10:19.825 INFO: ManagerServant: Master manager not found
Aug 24 03:10:29.835 INFO: ManagerServant: Master manager not found
Aug 24 03:10:39.844 INFO: ManagerServant: Master manager not found
Aug 24 03:10:49.854 INFO: ManagerServant: Master manager not found
Aug 24 03:10:59.864 INFO: ManagerServant: Master manager not found
Aug 24 03:11:09.874 INFO: ManagerServant: Master manager not found
Aug 24 03:11:19.884 INFO: ManagerServant: Master manager not found
Aug 24 03:11:29.893 INFO: ManagerServant: Master manager not found
Aug 24 03:11:39.902 INFO: ManagerServant: Master manager not found
Aug 24 03:11:49.912 INFO: ManagerServant: Master manager not found
Aug 24 03:11:59.921 INFO: ManagerServant: Master manager not found
Aug 24 03:12:09.931 INFO: ManagerServant: Master manager not found
Aug 24 03:12:19.940 INFO: ManagerServant: Master manager not found
Aug 24 03:12:29.950 INFO: ManagerServant: Master manager not found
Aug 24 03:12:39.961 INFO: ManagerServant: Master manager not found
